Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,153,5295,1084,997,1046,1,0,0,0,0,1101,45,49013,197418,266330,319957,1942414,187,1524909150,4107829,17737,242,1,0,0,0,0,837,1194.7431302270013,1000,519.045,263,8027,890,1327,1000
1,spread-run,2000,true,uniform,READ,303,310481,102140,102033,2046,1,0,0,0,0,1101,45,49013,197418,266330,320127,1942414,187,1526138505,4110836,17737,242,1,0,0,0,0,2542,39339.10306845004,100000,21.94702,17,10239,46,73,100000
2,spread-run,3000,true,uniform,READ,470,617501,204232,203234,3119,1,0,0,0,0,1101,45,49013,197418,266330,320294,1942414,187,1527517185,4114422,17738,242,1,0,0,0,0,2608,38343.55828220859,100000,22.76278,17,11239,45,84,100000
3,spread-run,4000,true,uniform,READ,621,922774,305378,304360,4119,1,0,0,0,0,1101,45,49013,197418,266330,320445,1942414,187,1528750298,4117430,17738,242,1,0,0,0,0,3118,32071.84092366902,100000,27.61065,17,13007,55,127,100000
4,spread-run,5000,true,uniform,READ,774,1228041,406524,405486,5119,1,0,0,0,0,1101,45,49013,197418,266330,320598,1942414,187,1529991060,4120440,17738,242,1,0,0,0,0,2725,36697.247706422015,100000,23.59174,17,9815,46,96,100000
5,spread-run,6000,true,uniform,READ,917,1533288,507670,506612,6119,1,0,0,0,0,1101,45,49013,197418,266330,320741,1942414,187,1531194002,4123441,17738,242,1,0,0,0,0,2666,37509.377344336084,100000,23.30147,17,10335,47,91,100000
6,spread-run,7000,true,uniform,READ,1061,1838537,608816,607738,7119,1,0,0,0,0,1101,45,49013,197418,266330,320885,1942414,187,1532404429,4126443,17738,242,1,0,0,0,0,2708,36927.62186115214,100000,23.76456,16,9887,50,95,100000
7,spread-run,8000,true,uniform,READ,1213,2143802,709962,708864,8119,1,0,0,0,0,1101,45,49013,197418,266330,321037,1942414,187,1533641288,4129452,17738,242,1,0,0,0,0,2684,37257.824143070044,100000,23.54514,17,10127,47,91,100000
8,spread-run,9000,true,uniform,READ,1377,2449091,811108,809990,9119,1,0,0,0,0,1101,45,49013,197418,266330,321201,1942414,187,1534923447,4132473,17738,242,1,0,0,0,0,2706,36954.91500369549,100000,23.67434,17,10199,49,97,100000
9,spread-run,10000,true,uniform,READ,1521,2754340,912254,911116,10119,1,0,0,0,0,1101,45,49013,197418,266330,321345,1942414,187,1536130174,4135476,17738,242,1,0,0,0,0,2587,38654.81252415926,100000,22.56304,17,9863,44,100,100000
