Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1504,34996,1084,997,10046,1,0,0,0,0,1125,49,72729,393328,1080081,8063317,3243643,254,3310398097,8409608,35020,314,0,0,0,1,0,3961,2524.6149962130776,10000,367.8821,241,37407,698,914,10000
1,spread-run,20000,true,uniform,READ,3000,369874,102140,102033,20046,1,0,0,0,0,1125,49,72729,393328,1080081,8064813,3243643,254,3322680063,8439675,35020,314,1,0,0,0,0,2812,35561.87766714083,100000,24.59854,17,10167,51,100,100000
2,spread-run,30000,true,uniform,READ,4478,713987,204337,203339,30119,1,0,0,0,0,1125,49,72729,393328,1080081,8066291,3243643,254,3335124516,8472749,35021,314,1,0,0,0,0,2817,35498.757543485975,100000,24.73858,17,10455,50,102,100000
3,spread-run,40000,true,uniform,READ,6018,1156034,305483,304465,40119,1,0,0,0,0,1125,49,72729,393328,1080081,8067831,3243643,254,3347567328,8502861,35021,314,1,0,0,0,0,2834,35285.81510232887,100000,24.91908,18,10343,49,99,100000
4,spread-run,50000,true,uniform,READ,7462,1600893,406629,405591,50119,1,0,0,0,0,1125,49,72729,393328,1080081,8069275,3243643,254,3359656543,8532877,35021,314,1,0,0,0,0,2737,36536.35367190355,100000,23.9888,18,20143,48,100,100000
5,spread-run,60000,true,uniform,READ,8968,2062182,508948,507017,60181,12,62,0,0,0,1125,49,72729,393328,1088273,8070781,3243643,254,3372284945,8567410,35021,314,1,0,0,0,0,2883,34686.0908775581,100000,25.09724,18,9919,52,102,100000
6,spread-run,70000,true,uniform,READ,10545,2507307,610094,608143,70181,12,62,0,0,0,1125,49,72729,393328,1088273,8072358,3243643,254,3384876578,8597560,35021,314,1,0,0,0,0,2819,35473.5721887194,100000,24.73548,18,9951,52,106,100000
7,spread-run,80000,true,uniform,READ,12029,2952247,711240,709269,80181,12,62,0,0,0,1125,49,72729,393328,1088273,8073842,3243643,254,3397113055,8627616,35021,314,1,0,0,0,0,2846,35137.034434293746,100000,24.94659,18,10031,48,104,100000
8,spread-run,90000,true,uniform,READ,13473,3397102,812386,810395,90181,12,62,0,0,0,1125,49,72729,393328,1088273,8075286,3243643,254,3409194764,8657630,35021,314,1,0,0,0,0,2848,35112.3595505618,100000,25.11498,18,10639,50,96,100000
9,spread-run,100000,true,uniform,READ,14916,3841959,913532,911521,100181,12,62,0,0,0,1125,49,72729,393956,1088273,8076729,3243643,254,3421280285,8687647,35021,314,1,0,0,0,0,2835,35273.36860670194,100000,24.85849,18,9799,51,99,100000
