Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1521,39067,2343,1385,10126,1,0,0,0,0,1194,173,263136,569461,2002524,15545372,5042062,992,7044996396,18244526,276219,9384,0.5,0.5,0,0,0,4327,2311.0700254217704,10000,402.3019,244,26767,727,948,10000
1,spread-run,11000,true,uniform,READ,1931,458187,105764,102511,11126,50083,0,0,0,0,1194,173,263136,569461,2002524,15545813,5042062,992,7061304195,18400509,276219,9384,0.5,0.5,0,0,0,19698,5076.657528683115,49918,48.41295724988982,18,10455,114,201,49918
1,spread-run,11000,true,uniform,UPDATE,1931,458187,105764,102511,11126,50083,0,0,0,0,1194,173,263136,569461,2002524,15545813,5042062,992,7061304195,18400509,276219,9384,0.5,0.5,0,0,0,19698,5076.657528683115,50082,336.4298350704844,239,27391,629,771,50082
2,spread-run,12000,true,uniform,READ,2098,865757,207592,203637,12126,100184,0,0,0,0,1194,173,263136,569461,2002524,15545980,5042062,992,7075888609,18554069,276219,9384,0.5,0.5,0,0,0,19568,5110.384300899427,49899,48.003186436601936,19,9911,115,203,49899
2,spread-run,12000,true,uniform,UPDATE,2098,865757,207592,203637,12126,100184,0,0,0,0,1194,173,263136,569461,2002524,15545980,5042062,992,7075888609,18554069,276219,9384,0.5,0.5,0,0,0,19568,5110.384300899427,50101,334.0532923494541,239,26863,628,771,50101
3,spread-run,13000,true,uniform,READ,2281,1287195,310755,305156,13188,150145,62,0,0,0,1194,173,263136,569461,2002524,15546163,5042062,992,7091116908,18712218,276219,9384,0.5,0.5,0,0,0,19013,5259.559248934939,50050,45.308071928071925,18,9919,109,186,50050
3,spread-run,13000,true,uniform,UPDATE,2281,1287195,310755,305156,13188,150145,62,0,0,0,1194,173,263136,569461,2002524,15546163,5042062,992,7091116908,18712218,276219,9384,0.5,0.5,0,0,0,19013,5259.559248934939,49950,327.013013013013,238,26847,624,749,49950
11,spread-run,14000,true,uniform,READ,2453,1702171,413166,406282,14188,199886,62,0,0,0,1194,173,263136,569461,2002524,15546335,5042062,992,7106564804,18866334,276219,9384,0.5,0.5,0,0,0,26049,3838.9189604207454,50259,53.88523448536581,19,7127,137,258,50259
11,spread-run,14000,true,uniform,UPDATE,2453,1702171,413166,406282,14188,199886,62,0,0,0,1194,173,263136,569461,2002524,15546335,5042062,992,7106564804,18866334,276219,9384,0.5,0.5,0,0,0,26049,3838.9189604207454,49741,460.0102129028367,239,36383,682,7711,49741
12,spread-run,15000,true,uniform,READ,2623,2108811,514548,507408,15188,249695,62,0,0,0,1194,173,263136,569461,2002524,15546505,5042062,992,7121081780,19018903,276219,9384,0.5,0.5,0,0,0,26371,3792.04429107732,50191,57.511386503556416,19,9791,149,306,50191
12,spread-run,15000,true,uniform,UPDATE,2623,2108811,514548,507408,15188,249695,62,0,0,0,1194,173,263136,569461,2002524,15546505,5042062,992,7121081780,19018903,276219,9384,0.5,0.5,0,0,0,26371,3792.04429107732,49809,462.200987773294,239,36703,695,7623,49809
13,spread-run,16000,true,uniform,READ,2838,2541815,618496,608939,16250,299416,124,0,0,0,1194,173,263136,569461,2002524,15546720,5042062,992,7137485814,19178244,276219,9384,0.5,0.5,0,0,0,27285,3665.017408832692,50290,62.989580433485784,19,4515,185,346,50290
13,spread-run,16000,true,uniform,UPDATE,2838,2541815,618496,608939,16250,299416,124,0,0,0,1194,173,263136,569461,2002524,15546720,5042062,992,7137485814,19178244,276219,9384,0.5,0.5,0,0,0,27285,3665.017408832692,49710,475.8525849929592,239,36991,730,7771,49710
21,spread-run,17000,true,uniform,READ,3014,2948718,720057,710065,17250,349352,124,0,0,0,1194,173,263136,569461,2002524,15546896,5042062,992,7152055062,19331181,276219,9384,0.5,0.5,0,0,0,20207,4948.780125699015,50064,51.28493528283797,19,6595,123,207,50064
