Key,Run1,Run2,Run3,Run11
"user1000385178204227360", 1000, 3500, 3700, 5100
"user1000385178204227360", 1000, 3500, 3700, 5100
"user1005413005517793606", 1000, 2900, 4000, 5100
"user1005413005517793606", 1000, 2900, 4000, 5100
"user1226902401449795803", 1000, 3300, 3400, 4700
"user1226902401449795803", 1000, 3300, 3400, 4700
"user1231930228763362049", 1000, 2400, 4300, 5300
"user1231930228763362049", 1000, 2400, 4300, 5300
"user1468038131265307737", 1000, 2900, 4300, 5500
"user1468038131265307737", 1000, 2900, 4300, 5500
"user1473065958578873983", 1000, 2800, 3700, 4600
"user1473065958578873983", 1000, 2800, 3700, 4600
"user1588605996173063704", 1000, 2200, 4000, 4500
"user1588605996173063704", 1000, 2200, 4000, 4500
"user1699583181824442426", 1000, 4400, 6100, 6200
"user1699583181824442426", 1000, 4400, 6100, 6200
"user171028630419879082", 1000, 2600, 3600, 4800
"user171028630419879082", 1000, 2600, 3600, 4800
"user176056457733445328", 1000, 3200, 4600, 5300
"user176056457733445328", 1000, 3200, 4600, 5300
"user1815123219418632147", 1000, 2700, 4300, 5200
"user1815123219418632147", 1000, 2700, 4300, 5200
"user1820151046732198393", 1000, 3400, 3700, 5500
"user1820151046732198393", 1000, 3400, 3700, 5500
"user2056258949234144081", 1000, 3100, 3700, 5000
"user2056258949234144081", 1000, 3100, 3700, 5000
"user2061286776547710327", 1000, 2600, 4200, 4800
"user2061286776547710327", 1000, 2600, 4200, 4800
"user2176826814141900048", 1000, 2300, 3600, 4900
"user2176826814141900048", 1000, 2300, 3600, 4900
"user2287803999793278770", 1000, 3000, 3800, 4700
"user2287803999793278770", 1000, 3000, 3800, 4700
"user2403344037387468491", 1000, 3000, 4300, 5200
"user2403344037387468491", 1000, 3000, 4300, 5200
"user2408371864701034737", 1000, 3200, 3700, 4600
"user2408371864701034737", 1000, 3200, 3700, 4600
"user2644479767202980425", 1000, 2600, 3600, 4900
"user2644479767202980425", 1000, 2600, 3600, 4900
"user2649507594516546671", 1000, 2700, 4100, 4600
"user2649507594516546671", 1000, 2700, 4100, 4600
"user2765047632110736392", 1000, 2700, 4400, 5500
"user2765047632110736392", 1000, 2700, 4400, 5500
"user2876024817762115114", 1000, 2700, 3600, 4400
"user2876024817762115114", 1000, 2700, 3600, 4400
"user2991564855356304835", 1000, 2900, 4100, 5100
"user2991564855356304835", 1000, 2900, 4100, 5100
"user2996592682669871081", 1000, 3500, 3800, 5100
"user2996592682669871081", 1000, 3500, 3800, 5100
"user3232700585171816769", 1000, 3400, 3800, 4600
"user3232700585171816769", 1000, 3400, 3800, 4600
"user3237728412485383015", 1000, 2700, 3900, 4400
"user3237728412485383015", 1000, 2700, 3900, 4400
"user3353268450079572736", 1000, 2700, 3900, 4300
"user3353268450079572736", 1000, 2700, 3900, 4300
"user3459217808417385212", 1000, 3200, 3800, 4300
"user3459217808417385212", 1000, 3200, 3800, 4300
"user3464245635730951458", 1000, 3000, 3900, 5100
"user3464245635730951458", 1000, 3000, 3900, 5100
"user3584813500638707425", 1000, 2300, 3900, 5100
"user3584813500638707425", 1000, 2300, 3900, 5100
"user3700353538232897146", 1000, 2900, 4300, 4800
"user3700353538232897146", 1000, 2900, 4300, 4800
"user3705381365546463392", 1000, 3100, 4600, 5200
"user3705381365546463392", 1000, 3100, 4600, 5200
"user3820921403140653113", 1000, 3200, 3500, 5200
"user3820921403140653113", 1000, 3200, 3500, 5200
"user3931898588792031835", 1000, 2500, 3500, 5100
"user3931898588792031835", 1000, 2500, 3500, 5100
"user4047438626386221556", 1000, 2800, 3600, 5300
"user4047438626386221556", 1000, 2800, 3600, 5300
"user4052466453699787802", 1000, 2600, 4000, 4800
"user4052466453699787802", 1000, 2600, 4000, 4800
"user412164360235391016", 1000, 3300, 3400, 4600
"user412164360235391016", 1000, 3300, 3400, 4600
"user417192187548957262", 1000, 5400, 8100, 10400
"user417192187548957262", 1000, 5400, 8100, 10400
"user4173034318607543769", 1000, 2700, 3200, 4600
"user4173034318607543769", 1000, 2700, 3200, 4600
"user4288574356201733490", 1000, 2800, 3500, 5100
"user4288574356201733490", 1000, 2800, 3500, 5100
"user4293602183515299736", 1000, 3700, 3900, 5500
"user4293602183515299736", 1000, 3700, 3900, 5500
"user4409142221109489457", 1000, 2900, 3900, 4400
"user4409142221109489457", 1000, 2900, 3900, 4400
"user4520119406760868179", 1000, 2800, 3400, 4700
"user4520119406760868179", 1000, 2800, 3400, 4700
"user4635659444355057900", 1000, 2700, 3500, 4900
"user4635659444355057900", 1000, 2700, 3500, 4900
"user4640687271668624146", 1000, 2800, 3800, 4500
"user4640687271668624146", 1000, 2800, 3800, 4500
"user4876795174170569834", 1000, 2900, 4100, 4600
"user4876795174170569834", 1000, 2900, 4100, 4600
"user4881823001484136080", 1000, 2700, 3700, 4500
"user4881823001484136080", 1000, 2700, 3700, 4500
"user4997363039078325801", 1000, 2300, 3500, 5300
"user4997363039078325801", 1000, 2300, 3500, 5300
"user5108340224729704523", 1000, 3100, 3900, 4800
"user5108340224729704523", 1000, 3100, 3900, 4800
"user5223880262323894244", 1000, 3000, 3700, 4400
"user5223880262323894244", 1000, 3000, 3700, 4400
"user5228908089637460490", 1000, 2400, 3500, 4900
"user5228908089637460490", 1000, 2400, 3500, 4900
"user532732225143146983", 1000, 2900, 3400, 5000
"user532732225143146983", 1000, 2900, 3400, 5000
"user5465015992139406178", 1000, 3000, 3900, 5000
"user5465015992139406178", 1000, 3000, 3900, 5000
"user5470043819452972424", 1000, 2900, 3900, 4700
"user5470043819452972424", 1000, 2900, 3900, 4700
"user55488592825689361", 1000, 2400, 3900, 5000
"user55488592825689361", 1000, 2400, 3900, 5000
"user5585583857047162145", 1000, 2600, 4000, 4900
"user5585583857047162145", 1000, 2600, 4000, 4900
"user5691533215384974621", 1000, 2900, 4500, 5200
"user5691533215384974621", 1000, 2900, 4500, 5200
"user5696561042698540867", 1000, 2500, 3700, 4800
"user5696561042698540867", 1000, 2500, 3700, 4800
"user5817128907606296834", 1000, 3100, 4100, 5100
"user5817128907606296834", 1000, 3100, 4100, 5100
"user5932668945200486555", 1000, 2900, 3700, 4800
"user5932668945200486555", 1000, 2900, 3700, 4800
"user6053236810108242522", 1000, 2500, 3900, 4500
"user6053236810108242522", 1000, 2500, 3900, 4500
"user6164213995759621244", 1000, 3300, 3700, 5200
"user6164213995759621244", 1000, 3300, 3700, 5200
"user6279754033353810965", 1000, 3600, 4000, 4600
"user6279754033353810965", 1000, 3600, 4000, 4600
"user6284781860667377211", 1000, 3200, 3400, 4900
"user6284781860667377211", 1000, 3200, 3400, 4900
"user6405349725575133178", 1000, 3700, 4800, 4600
