Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1624,37460,2135,1177,10119,1,0,0,0,0,1495,1550,5981168,9575544,119899172,500933653,21909605,1442402,442155675759,514404809,45911820,4500128,0,0,0,1,0,3467,2884.338044418806,10000,320.9192,243,27119,663,766,10000
1,extend,10000,true,uniform,EXTEND,7341,1159740,250525,224183,18611,100012,1526,0,0,0,1495,1550,5981168,9575594,119907068,500940921,21909605,1442402,442254463351,514788357,45911823,4500128,0,0,0,0,1,59442,1682.3121698462367,100000,588.63375,258,297471,1168,7871,100000
1,run,10000,true,uniform,READ,7347,1685429,442002,402892,18611,100012,1526,0,0,0,1495,1550,5981168,9575594,119907068,500940928,21909605,1442402,442254541227,514789631,45911823,4500128,1,0,0,0,0,2816,35511.36363636364,100000,24.99447,18,9911,48,79,100000
1,reference,10000,true,uniform,READ,1523,340533,113317,101485,10119,1,0,0,0,0,1495,1550,5981168,9575594,119907068,500940928,21909605,1442402,442254541287,514789632,45911823,4500128,1,0,0,0,0,2553,39169.60438699569,100000,22.40209,17,9831,44,76,100000
1,clean-run,10000,true,uniform,READ,3372,543511,178107,168015,16722,1,0,0,4,385024,1495,1551,5990486,9575594,119908148,500945233,21909651,1442411,442281039561,514807196,45912804,4501571,1,0,0,0,0,2763,36192.54433586681,100000,24.48161,18,10215,47,79,100000
1,avg-run,10000,true,uniform,READ,6313,1274580,410524,379518,36845,5,0,0,4,385024,1495,1551,5990486,9575594,119908148,500948174,21909651,1442411,442305525587,514860380,45912808,4501571,1,0,0,0,0,2849,35100.0351000351,100000,25.30322,19,9567,47,78,100000
2,extend,10000,true,uniform,EXTEND,11801,3446001,903326,816455,57319,200012,19425,0,0,0,1495,1551,5990486,9576480,119916338,500952302,21909651,1442411,442436198308,515318249,45919540,4501571,0,0,0,0,1,33885,2951.1583296443855,100000,335.27608,260,28015,654,855,100000
2,run,10000,true,uniform,READ,11821,4600482,1303882,1195403,57319,200012,19425,0,0,0,1495,1551,5990486,9577316,119916338,500952322,21909651,1442411,442436352706,515320719,45919540,4501571,1,0,0,0,0,3291,30385.90094196293,100000,29.75792,19,10471,51,91,100000
2,reference,10000,true,uniform,READ,1532,642844,234570,202715,10119,1,0,0,0,0,1495,1551,5990486,9577721,119916338,500952373,21909651,1442411,442438657711,515348742,45919614,4501571,1,0,0,0,0,2607,38358.26620636747,100000,22.92086,17,9911,49,70,100000
2,clean-run,10000,true,uniform,READ,5261,1239411,376150,366058,36532,1,0,0,4,385024,1495,1552,6001820,9578085,119918903,500959483,21909722,1442423,442478133327,515406054,45920595,4504340,1,0,0,0,0,3161,31635.558367605187,100000,28.46054,19,9927,54,77,100000
2,avg-run,10000,true,uniform,READ,9757,3096285,932544,901538,86705,5,0,0,4,385024,1495,1552,6001820,9578086,119926758,500963971,21909722,1442423,442517175026,515520356,45920599,4504340,1,0,0,0,0,3331,30021.014710297208,100000,30.08347,24,9455,56,90,100000
3,extend,10000,true,uniform,EXTEND,17756,7304654,2024254,1854431,109872,300023,55862,0,0,0,1495,1552,6001820,9581485,119932426,500969559,21909722,1442423,442668474578,516033647,45930002,4504340,0,0,0,0,1,35171,2843.251542463962,100000,348.08522,265,30575,670,921,100000
3,run,10000,true,uniform,READ,17954,8942438,2586384,2403904,109872,300023,55862,0,0,0,1495,1552,6001820,9582315,119932426,500969843,21909722,1442423,442668608076,516035794,45930002,4504340,1,0,0,0,0,3624,27593.818984547463,100000,33.13817,21,9871,59,103,100000
3,reference,10000,true,uniform,READ,3587,943182,356707,303959,10119,1,0,0,0,0,1495,1552,6001820,9583496,119932426,500971829,21909722,1442423,442668608076,516035794,45930002,4504340,1,0,0,0,0,2495,40080.160320641284,100000,21.93296,17,9895,43,73,100000
3,clean-run,10000,true,uniform,READ,6274,1786601,531208,521116,52071,1,0,0,4,385024,1495,1553,6015295,9584333,119933773,500981344,21909778,1442445,442720389540,516124358,45930982,4508841,1,0,0,0,0,3434,29120.559114735002,100000,31.35649,21,10655,57,89,100000
3,avg-run,10000,true,uniform,READ,12407,4375754,1295986,1264980,122296,5,0,0,4,385024,1495,1553,6015295,9584333,119941228,500987475,21909778,1442445,442772595939,516280732,45930986,4508841,1,0,0,0,0,3532,28312.570781426955,100000,32.30185,26,10239,52,91,100000
4,extend,10000,true,uniform,EXTEND,57835,12367579,3492412,3251924,170422,400034,105597,0,0,0,1495,1553,6015295,9594351,119959451,501003653,21909778,1442445,442964254904,516864278,45946070,4508841,0,0,0,0,1,47873,2088.8601090384977,100000,474.45178,268,88767,1044,1968,100000
4,run,10000,true,uniform,READ,73239,14863571,4163433,3898687,170422,400034,105597,0,0,0,1495,1553,6015295,9596378,119963076,501018153,21909778,1442445,442964389546,516866440,45946070,4508841,1,0,0,0,0,4008,24950.099800399203,100000,37.05442,24,9983,60,94,100000
