Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,153,5295,1084,997,1046,1,0,0,0,0,1495,1448,5069105,9154901,115635637,491337388,21895412,1434897,419083951862,485129774,44370429,3987647,0,0,0,1,0,660,1515.1515151515152,1000,433.133,255,8051,755,933,1000
1,extend,1000,true,uniform,EXTEND,767,112978,26192,23636,1883,10001,152,0,0,0,1495,1448,5069105,9154901,115635637,491338157,21895412,1434897,419093726304,485166331,44370429,3987647,0,0,0,0,1,3955,2528.4450063211125,10000,369.8964,260,26863,668,849,10000
1,run,1000,true,uniform,READ,797,627216,199524,193747,2002,10001,152,0,0,0,1495,1448,5069105,9154901,115635637,491338187,21895412,1434897,419094109142,485168658,44370437,3987647,1,0,0,0,0,2765,36166.365280289334,100000,24.4248,17,9359,48,79,100000
1,reference,1000,true,uniform,READ,153,305930,102304,101213,1046,1,0,0,0,0,1495,1448,5069105,9154901,115635637,491338187,21895412,1434897,419094109290,485168661,44370437,3987647,1,0,0,0,0,2466,40551.500405515006,100000,21.3389,16,9095,44,74,100000
1,clean-run,1000,true,uniform,READ,302,505054,168573,167487,1710,1,0,0,0,0,1495,1449,5070994,9154901,115636890,491339410,21895422,1434906,419100668021,485171661,44371373,3987665,1,0,0,0,0,2687,37216.22627465575,99920,23.71900520416333,17,9271,46,79,99920,80
1,avg-run,1000,true,uniform,READ,599,1115624,371933,368806,3710,5,0,0,0,0,1495,1449,5070994,9154901,115636890,491339722,21895422,1434906,419103201437,485176847,44371381,3987665,1,0,0,0,0,2666,37509.377344336084,100000,23.41398,19,8991,44,64,100000
2,extend,1000,true,uniform,EXTEND,1104,809269,269564,238487,5889,19994,1937,0,0,0,1495,1449,5070994,9154901,115636890,491340029,21895422,1434906,419115238282,485222273,44372076,3987665,0,0,0,0,1,3871,2583.311805734952,9993,362.46512558791153,261,27039,665,852,9993,7
2,run,1000,true,uniform,READ,1104,1948919,651541,619295,5889,19994,1937,0,0,0,1495,1449,5070994,9154901,115636890,491340029,21895422,1434906,419115252836,485222507,44372076,3987665,1,0,0,0,0,3124,32010.243277848913,99892,28.095693348816724,18,10095,54,82,99892,108
2,reference,1000,true,uniform,READ,168,609026,206541,202556,1119,1,0,0,0,0,1495,1449,5070994,9154901,115636890,491340058,21895422,1434906,419115489435,485222789,44372077,3987665,1,0,0,0,0,2456,40716.612377850164,100000,21.25445,16,9151,42,65,100000
2,clean-run,1000,true,uniform,READ,445,1114421,368256,367170,3706,1,0,0,0,0,1495,1450,5072105,9154901,115638159,491341424,21895429,1434909,419123341638,485229787,44373012,3987683,1,0,0,0,0,3019,33123.55084465055,99899,27.038048428913203,18,9671,50,70,99899,101
2,avg-run,1000,true,uniform,READ,886,2640275,871616,868489,8706,5,0,0,0,0,1495,1450,5072105,9154901,115638159,491341865,21895429,1434909,419127172055,485240832,44373014,3987683,1,0,0,0,0,3131,31938.677738741615,100000,28.12634,23,9583,54,77,100000
3,extend,1000,true,uniform,EXTEND,2068,2213315,744683,687353,11125,29980,5586,0,0,0,1495,1450,5072105,9154901,115638159,491342860,21895429,1434909,419144488808,485292717,44373940,3987683,0,0,0,0,1,3886,2573.340195573855,9986,363.9320048067294,269,28415,678,853,9986,14
3,run,1000,true,uniform,READ,2068,3832175,1286107,1226494,11125,29980,5586,0,0,0,1495,1450,5072105,9154901,115638159,491342871,21895429,1434909,419144504258,485292964,44373940,3987683,1,0,0,0,0,3378,29603.315571343992,99911,30.62389526678744,20,10015,56,84,99911,89
