Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,229,5219,1084,997,1046,1,0,0,0,0,1382,450,1244611,1225887,12010044,31029404,6185976,29077,48064462841,76026197,4927302,345768,0,0,0,1,0,707,1414.4271570014143,0,1000,453.773,265,7651,796,1095,1000
1,extend,1000,true,uniform,EXTEND,928,114544,27102,23865,1969,10001,136,0,0,0,1382,450,1244611,1225946,12010044,31030278,6185976,29077,48074656453,76064017,4927313,345768,0,0,0,0,1,5161,1937.6089905057158,0,10000,478.4346,270,26767,804,1067,10000
1,run,1000,true,uniform,READ,934,627809,200437,194995,1969,10001,136,0,0,0,1382,450,1244611,1225946,12010044,31030284,6185976,29077,48074669175,76064222,4927313,345768,1,0,0,0,0,5833,17143.83679067375,0,100000,51.66418,19,22895,110,217,100000
1,reference,1000,true,uniform,READ,170,306652,103398,101436,1119,1,0,0,0,0,1382,450,1244611,1225947,12010044,31030301,6185976,29077,48074787980,76064372,4927313,345768,1,0,0,0,0,6396,15634.771732332709,0,100000,57.52912,18,21647,119,259,100000
1,clean-run,1000,true,uniform,READ,329,509562,170834,168876,1843,1,0,0,0,0,1382,451,1246194,1225947,12011261,31031988,6185990,29097,48081580519,76067636,4928249,345786,1,0,0,0,0,5496,18195.050946142648,0,100000,50.13403,18,10295,110,184,100000
1,avg-run,1000,true,uniform,READ,626,1120472,374743,370742,3843,5,0,0,0,0,1382,451,1246194,1225947,12011261,31032285,6185990,29097,48083976786,76072672,4928251,345786,1,0,0,0,0,4798,20842.017507294706,0,100000,40.9799,19,18895,87,169,100000
2,extend,1000,true,uniform,EXTEND,1863,809309,270365,239516,5830,20001,1906,0,0,0,1382,451,1246194,1225947,12011261,31032900,6185990,29097,48097145750,76118097,4928919,345786,0,0,0,0,1,4846,2063.557573256294,0,10000,451.4466,264,26399,776,1056,10000
2,run,1000,true,uniform,READ,1863,1950079,652616,619585,5830,20001,1906,0,0,0,1382,451,1246194,1225947,12011261,31032900,6185990,29097,48097162812,76118369,4928919,345786,1,0,0,0,0,4893,20437.359493153486,0,100000,44.58146,19,15647,94,175,100000
2,reference,1000,true,uniform,READ,172,609112,206651,202666,1119,1,0,0,0,0,1382,451,1246194,1225947,12011261,31032900,6185990,29097,48097162812,76118369,4928919,345786,1,0,0,0,0,3866,25866.52871184687,0,100000,34.2774,17,16719,73,147,100000
2,clean-run,1000,true,uniform,READ,444,1110207,366942,365855,3692,1,0,0,0,0,1382,452,1247495,1225947,12012821,31034297,6186001,29099,48105016072,76125340,4929854,345804,1,0,0,0,0,4562,21920.210434020166,0,100000,41.31473,19,13703,86,172,100000
