Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,zipfian,INSERT,230,5291,1968,1011,1046,1,0,0,0,0,1404,719,3491224,2610921,25721306,53858573,7867379,40938,112680232055,164752573,9696306,1369768,0,0,0,1,0,744,1344.0860215053763,0,1000,464.123,257,10247,781,1078,1000
1,extend,1000,true,uniform,EXTEND,951,113156,27139,23679,1902,10001,160,0,0,0,1404,719,3491224,2610978,25721306,53859486,7867379,40938,112690076267,164789186,9696306,1369768,0,0,0,0,1,4504,2220.2486678507994,0,10000,419.4764,265,26623,720,935,10000
1,run,1000,true,zipfian,READ,957,642415,205717,199669,1902,10001,160,0,0,0,1404,719,3491224,2610978,25721306,53859509,7867379,40938,112690208082,164789545,9696306,1369768,1,0,0,0,0,3882,25759.917568263783,0,100000,34.9142,18,12223,69,143,100000
1,reference,1000,true,zipfian,READ,170,306667,103418,101456,1119,1,0,0,0,0,1404,719,3491224,2610978,25721306,53859509,7867379,40938,112690208142,164789546,9696306,1369768,1,0,0,0,0,3176,31486.146095717882,0,100000,28.16732,17,9183,58,109,100000
1,clean-run,1000,true,zipfian,READ,303,523811,174860,173773,1724,1,0,0,0,0,1404,720,3492823,2610978,25722559,53861173,7867388,40957,112696770496,164792566,9697242,1369786,1,0,0,0,0,3607,27723.87025228722,0,100000,32.23258,18,9919,62,120,100000
1,avg-run,1000,true,zipfian,READ,629,1138503,380397,376396,3847,5,0,0,0,0,1404,720,3492823,2610978,25722559,53861499,7867388,40957,112699403304,164797883,9697245,1369786,1,0,0,0,0,3559,28097.780275358247,0,100000,31.98701,19,9767,62,124,100000
2,extend,1000,true,uniform,EXTEND,1892,823500,275478,243942,5715,20001,1878,0,0,0,1404,720,3492823,2610978,25722559,53862116,7867388,40957,112712773585,164843090,9697946,1369786,0,0,0,0,1,4686,2134.0162185232607,0,10000,439.7939,269,26879,773,1048,10000
2,run,1000,true,zipfian,READ,1892,1976514,661694,627667,5715,20001,1878,0,0,0,1404,720,3492823,2610978,25722559,53862116,7867388,40957,112712789771,164843348,9697946,1369786,1,0,0,0,0,4224,23674.242424242424,0,100000,38.50622,19,11831,74,144,100000
2,reference,1000,true,zipfian,READ,172,609127,206671,202686,1119,1,0,0,0,0,1404,720,3492823,2610978,25722559,53862116,7867388,40957,112712789771,164843348,9697946,1369786,1,0,0,0,0,3248,30788.17733990148,0,100000,28.8789,17,10319,57,119,100000
2,clean-run,1000,true,zipfian,READ,485,1131345,374541,372583,3864,1,0,0,0,0,1404,721,3494157,2610978,25724124,53863554,7867395,40960,112720992006,164850838,9698882,1369804,1,0,0,0,0,4100,24390.243902439026,0,100000,37.18973,19,12183,71,136,100000
2,avg-run,1000,true,zipfian,READ,926,2657571,878638,874637,8864,5,0,0,0,0,1404,721,3494157,2610978,25724124,53863995,7867395,40960,112724827369,164861882,9698884,1369804,1,0,0,0,0,4284,23342.67040149393,0,100000,39.17485,23,10695,75,139,100000
3,extend,1000,true,uniform,EXTEND,2839,2240308,754632,694576,10937,30001,5512,0,0,0,1404,721,3494157,2610978,25724124,53864942,7867395,40960,112741905059,164912983,9699862,1369804,0,0,0,0,1,5250,1904.7619047619048,0,10000,491.7192,277,26847,849,1098,10000
3,run,1000,true,zipfian,READ,2839,3878200,1302071,1239653,10937,30001,5512,0,0,0,1404,721,3494157,2610978,25724124,53864942,7867395,40960,112741919927,164913221,9699862,1369804,1,0,0,0,0,4662,21450.02145002145,0,100000,42.74871,22,12199,82,158,100000
3,reference,1000,true,zipfian,READ,172,911589,309924,303916,1119,1,0,0,0,0,1404,721,3494157,2610978,25724124,53864942,7867395,40960,112741919927,164913221,9699862,1369804,1,0,0,0,0,3163,31615.55485298767,0,100000,28.07805,17,10319,57,114,100000
3,clean-run,1000,true,zipfian,READ,591,1600754,527752,526665,5235,1,0,0,0,0,1404,722,3496090,2610978,25726316,53866454,7867404,40963,112751002063,164923289,9700797,1369888,1,0,0,0,0,4399,22732.439190725167,0,100000,40.18383,22,10735,75,143,100000
3,avg-run,1000,true,zipfian,READ,1259,3756951,1238388,1234387,12458,5,0,0,0,0,1404,722,3496090,2610978,25726316,53867122,7867404,40963,112756601586,164939124,9700800,1369888,1,0,0,0,0,4669,21417.862497322767,0,100000,42.94112,26,12887,78,148,100000
4,extend,1000,true,uniform,EXTEND,4074,4202528,1411873,1322810,16952,40001,10460,0,0,0,1404,722,3496090,2610978,25726316,53868337,7867404,40963,112778238142,164993843,9702141,1369888,0,0,0,0,1,4943,2023.0629172567267,0,10000,464.6998,279,26655,812,1121,10000
4,run,1000,true,zipfian,READ,4149,6194702,2073340,1981130,17220,40001,10460,0,0,0,1404,722,3496090,2610978,25726316,53868432,7867404,40963,112779423238,165003112,9703134,1369888,1,0,0,0,0,4969,20124.77359629704,0,100000,45.94445,25,11335,85,162,100000
4,reference,1000,true,zipfian,READ,172,1214051,413177,405146,1119,1,0,0,0,0,1404,722,3496090,2610978,25726316,53868432,7867404,40963,112779423488,165003117,9703134,1369888,1,0,0,0,0,3338,29958.058717795087,0,100000,29.77298,17,10695,58,116,100000
4,clean-run,1000,true,zipfian,READ,795,1951203,642892,640935,6582,1,0,0,0,0,1404,723,3499738,2610978,25729197,53870148,7867421,40968,112790238632,165016365,9704070,1370114,1,0,0,0,0,4780,20920.50209205021,0,99913,43.646952848978614,24,10327,81,151,99913,87
4,avg-run,1000,true,zipfian,READ,1545,4393136,1447379,1443381,14582,5,0,0,0,0,1404,723,3499738,2610978,25729197,53870898,7867421,40968,112796509791,165033418,9704072,1370114,1,0,0,0,0,4998,20008.003201280513,0,100000,46.16552,28,10391,87,155,100000
5,extend,1000,true,uniform,EXTEND,4167,6553801,2193974,2075526,23799,49991,16287,0,0,0,1404,723,3499738,2610978,25729197,53870916,7867421,40968,112816200498,165089493,9705855,1370114,0,0,0,0,1,4954,2018.5708518368995,0,9990,465.9022022022022,278,27503,806,1058,9990,10
5,run,1000,true,zipfian,READ,4167,8746233,2926731,2807012,23799,49991,16287,0,0,0,1404,723,3499738,2610978,25729197,53870916,7867421,40968,112816216534,165089748,9705855,1370114,1,0,0,0,0,5320,18796.992481203008,0,99927,49.3719014880863,27,12935,93,166,99927,73
5,reference,1000,true,zipfian,READ,172,1516586,517314,506390,1119,1,0,0,0,0,1404,723,3499738,2610978,25729197,53870916,7867421,40968,112816216534,165089748,9705855,1370114,1,0,0,0,0,3532,28312.570781426955,0,100000,31.31903,17,13215,61,117,100000
5,clean-run,1000,true,zipfian,READ,862,2148903,707133,706047,7058,1,0,0,0,0,1404,724,3502225,2610978,25731079,53872699,7867433,40972,112827565898,165103501,9706790,1370476,1,0,0,0,0,5012,19952.114924181962,0,99913,46.21842002542212,26,10919,87,162,99913,87
5,avg-run,1000,true,zipfian,READ,1809,4614311,1518846,1514848,15381,5,0,0,0,0,1404,724,3502225,2610978,25731079,53873646,7867433,40972,112835536537,165121790,9706793,1370476,1,0,0,0,0,5058,19770.660340055358,0,100000,46.80695,28,10679,87,158,100000
6,extend,1000,true,uniform,EXTEND,4883,9132092,3055050,2910113,30876,59977,22812,0,0,0,1404,724,3502225,2610978,25731079,53874362,7867433,40972,112861370618,165179908,9708681,1370476,0,0,0,0,1,5055,1978.2393669634025,0,9986,476.36040456639296,288,28319,803,1084,9986,14
6,run,1000,true,zipfian,READ,4883,11472398,3837153,3690997,30876,59977,22812,0,0,0,1404,724,3502225,2610978,25731079,53874362,7867433,40972,112861384816,165180134,9708681,1370476,1,0,0,0,0,5696,17556.1797752809,0,99923,53.12621718723417,29,12823,99,174,99923,77
6,reference,1000,true,zipfian,READ,172,1819048,620567,607620,1119,1,0,0,0,0,1404,724,3502225,2610978,25731079,53874362,7867433,40972,112861384816,165180134,9708681,1370476,1,0,0,0,0,3343,29913.251570445707,0,100000,29.83788,18,10495,58,112,100000
6,clean-run,1000,true,zipfian,READ,994,2329323,766278,765192,7640,1,0,0,0,0,1404,725,3505398,2610978,25733923,53876277,7867447,40976,112873819153,165195070,9709616,1370971,1,0,0,0,0,5241,19080.328181644723,0,99927,48.61608974551422,28,12071,90,163,99927,73
6,avg-run,1000,true,zipfian,READ,2049,5103601,1679271,1675273,17020,5,0,0,0,0,1404,725,3505398,2610978,25733923,53877333,7867447,40976,112883052277,165215622,9709619,1370971,1,0,0,0,0,5210,19193.857965451054,0,100000,48.46706,29,10951,90,165,100000
7,extend,1000,true,uniform,EXTEND,5829,11875669,3971234,3800139,38310,69970,29801,0,0,0,1404,725,3505398,2610978,25733923,53878279,7867447,40976,112911913959,165274602,9711988,1370971,0,0,0,0,1,5221,1915.3418885271021,0,9993,490.56819773841687,290,28527,845,1112,9993,7
7,run,1000,true,zipfian,READ,5923,14379648,4802900,4629726,38684,69981,30058,0,0,0,1404,725,3505398,2610978,25733923,53878373,7867447,40976,112914426552,165288896,9713485,1370971,1,0,0,0,0,5810,17211.70395869191,0,99922,53.96367166389784,30,22751,99,171,99922,78
7,reference,1000,true,zipfian,READ,172,2121510,723820,708850,1119,1,0,0,0,0,1404,725,3505398,2610978,25733923,53878373,7867447,40976,112914426666,165288898,9713485,1370971,1,0,0,0,0,3354,29815.146094215863,0,100000,29.72841,17,10567,59,115,100000
7,clean-run,1000,true,zipfian,READ,1220,2477499,814705,812748,8470,1,0,0,0,0,1404,726,3510722,2610978,25737331,53880514,7867474,40979,112928774332,165306378,9714421,1371429,1,0,0,0,0,5552,18011.527377521616,0,99913,51.752264470088974,29,11815,96,168,99913,87
7,avg-run,1000,true,zipfian,READ,2394,5225362,1719656,1715658,17470,5,0,0,0,0,1404,726,3510722,2610978,25737331,53881688,7867474,40979,112938189055,165325433,9714423,1371429,1,0,0,0,0,5862,17059.0242238144,0,100000,54.78679,31,12167,102,180,100000
8,extend,1000,true,uniform,EXTEND,5945,14798242,4941452,4742626,46442,79968,37460,0,0,0,1404,726,3510722,2610978,25737331,53881709,7867474,40979,112962706778,165384776,9717191,1371429,0,0,0,0,1,5819,1718.5083347654236,0,9987,544.9451286672675,293,28463,939,1386,9987,13
