Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,zipfian,INSERT,153,5295,1084,997,1046,1,0,0,0,0,1402,592,2529377,1768332,16283899,40809174,6480694,35491,74716803316,111316775,6508344,963357,0,0,0,1,0,853,1172.3329425556858,0,1000,504.048,260,7891,886,1251,1000
1,extend,1000,true,zipfian,EXTEND,921,146767,39443,36049,3019,10001,1281,0,0,0,1402,592,2529377,1768332,16283899,40810131,6480694,35491,74728036591,111357364,6508351,963357,0,0,0,0,1,4333,2307.8698361412416,0,10000,401.3965,262,31727,713,999,10000
1,run,1000,true,zipfian,READ,921,1008441,392905,387064,3019,10001,1281,0,0,0,1402,592,2529377,1768332,16283899,40810131,6480694,35491,74728048217,111357550,6508351,963357,1,0,0,0,0,3775,26490.066225165563,0,100000,34.05232,17,10983,86,172,100000
1,reference,1000,true,zipfian,READ,168,306699,103415,101453,1119,1,0,0,0,0,1402,592,2529377,1768332,16283899,40810146,6480694,35491,74728167022,111357700,6508351,963357,1,0,0,0,0,2983,33523.29869259135,0,100000,26.33848,17,9439,52,108,100000
1,clean-run,1000,true,zipfian,READ,300,845883,349735,348648,1633,1,0,0,0,0,1402,593,2531404,1768332,16285291,40811403,6480705,35501,74734714576,111360546,6509287,963375,1,0,0,0,0,3415,29282.576866764277,0,100000,30.68716,17,9831,80,137,100000
1,avg-run,1000,true,zipfian,READ,597,1456433,553097,549967,3633,5,0,0,0,0,1402,593,2531404,1768332,16285291,40811700,6480705,35501,74737110785,111365581,6509289,963375,1,0,0,0,0,3040,32894.73684210526,0,100000,26.92634,19,9511,54,106,100000
2,extend,1000,true,zipfian,EXTEND,2064,1236938,489646,458210,8915,20001,5474,0,0,0,1402,593,2531404,1768332,16285291,40812871,6480705,35501,74755578891,111417129,6510093,963375,0,0,0,0,1,4257,2349.072116513977,0,10000,397.6262,263,28815,703,972,10000
2,run,1000,true,zipfian,READ,2064,2629459,1148720,1115035,8915,20001,5474,0,0,0,1402,593,2531404,1768332,16285291,40812872,6480705,35501,74755594857,111417384,6510093,963375,1,0,0,0,0,4276,23386.342376052384,0,100000,39.18024,18,14455,123,180,100000
2,reference,1000,true,zipfian,READ,168,609161,206668,202683,1119,1,0,0,0,0,1402,593,2531404,1768332,16285291,40812872,6480705,35501,74755594857,111417384,6510093,963375,1,0,0,0,0,2605,38387.71593090211,0,100000,22.52762,17,10231,44,86,100000
2,clean-run,1000,true,zipfian,READ,441,1369958,647524,646437,3279,1,0,0,0,0,1402,594,2533366,1768332,16287379,40814234,6480715,35506,74763383993,111423531,6511028,963392,1,0,0,0,0,4074,24545.900834560627,0,100000,37.10554,18,13863,114,166,100000
2,avg-run,1000,true,zipfian,READ,924,2909328,1156111,1152110,8452,5,0,0,0,0,1402,594,2533366,1768332,16287379,40814717,6480715,35506,74767571499,111435092,6511031,963392,1,0,0,0,0,3450,28985.507246376812,0,100000,31.00897,23,10023,60,122,100000
3,extend,1000,true,zipfian,EXTEND,3665,2928594,1276067,1216755,17232,30001,12291,0,0,0,1402,594,2533366,1768332,16287379,40816318,6480715,35506,74791751567,111495063,6512387,963392,0,0,0,0,1,4391,2277.385561375541,0,10000,411.4599,267,29183,740,1034,10000
3,run,1000,true,zipfian,READ,3665,4746164,2188162,2126584,17232,30001,12291,0,0,0,1402,594,2533366,1768332,16287379,40816318,6480715,35506,74791769251,111495344,6512387,963392,1,0,0,0,0,4802,20824.656393169513,0,100000,44.33745,19,17615,137,206,100000
3,reference,1000,true,zipfian,READ,168,911623,309921,303913,1119,1,0,0,0,0,1402,594,2533366,1768332,16287379,40816318,6480715,35506,74791769251,111495344,6512387,963392,1,0,0,0,0,2542,39339.10306845004,0,100000,22.05862,16,9815,45,79,100000
3,clean-run,1000,true,zipfian,READ,581,1786041,900674,899587,4708,1,0,0,0,0,1402,595,2536331,1768332,16290223,40817820,6480728,35510,74800770541,111504352,6513322,963466,1,0,0,0,0,4550,21978.021978021978,0,100000,42.13582,19,9791,132,200,100000
3,avg-run,1000,true,zipfian,READ,1249,3942237,1611311,1607310,11931,5,0,0,0,0,1402,595,2536331,1768332,16290223,40818434,6480728,35510,74806370040,111520187,6513325,963466,1,0,0,0,0,3754,26638.252530633992,0,100000,33.87637,26,10807,62,120,100000
4,extend,1000,true,zipfian,EXTEND,5760,5103315,2341626,2254138,27470,40001,21383,0,0,0,1402,595,2536331,1768332,16290223,40820583,6480728,35510,74836582329,111586908,6515135,963466,0,0,0,0,1,4555,2195.389681668496,0,10000,428.0374,270,28047,793,1234,10000
4,run,1000,true,zipfian,READ,5760,7232438,3481480,3391683,27470,40001,21383,0,0,0,1402,595,2536331,1768332,16290223,40820583,6480728,35510,74836598093,111587159,6515135,963466,1,0,0,0,0,5200,19230.76923076923,0,100000,48.51059,21,10135,150,234,100000
4,reference,1000,true,zipfian,READ,168,1214085,413174,405143,1119,1,0,0,0,0,1402,595,2536331,1768332,16290223,40820583,6480728,35510,74836598093,111587159,6515135,963466,1,0,0,0,0,2596,38520.80123266564,0,100000,22.43408,16,9607,44,83,100000
4,clean-run,1000,true,zipfian,READ,782,2113191,1125811,1123853,6098,1,0,0,0,0,1402,596,2540244,1768332,16293886,40822287,6480747,35513,74847291203,111599427,6516071,963684,1,0,0,0,0,4981,20076.28990162618,0,100000,46.37577,20,9391,137,233,100000
4,avg-run,1000,true,zipfian,READ,1532,4555102,1930196,1926195,14098,5,0,0,0,0,1402,596,2540244,1768332,16293886,40823037,6480747,35513,74853570416,111616481,6516073,963684,1,0,0,0,0,3940,25380.710659898476,0,100000,35.65829,27,10791,66,125,100000
5,extend,1000,true,zipfian,EXTEND,7268,7669093,3663325,3546868,39598,50012,32448,0,0,0,1402,596,2540244,1768332,16293886,40824545,6480747,35513,74890423878,111705726,6521835,963684,0,0,0,0,1,4625,2162.162162162162,0,10000,434.4629,274,28783,783,1156,10000
5,run,1000,true,zipfian,READ,7268,10032095,4999336,4881629,39598,50012,32448,0,0,0,1402,596,2540244,1768332,16293886,40824545,6480747,35513,74890439374,111705974,6521835,963684,1,0,0,0,0,5590,17889.08765652952,0,100000,52.44919,23,11183,156,256,100000
5,reference,1000,true,zipfian,READ,168,1516620,517311,506387,1119,1,0,0,0,0,1402,596,2540244,1768332,16293886,40824545,6480747,35513,74890439374,111705974,6521835,963684,1,0,0,0,0,2627,38066.23524933384,0,100000,22.82747,17,10503,49,98,100000
5,clean-run,1000,true,zipfian,READ,923,2353706,1328109,1326151,7018,1,0,0,0,0,1402,597,2547524,1768332,16297246,40826389,6482279,35849,74902338508,111720216,6522771,964040,1,0,0,0,0,5361,18653.236336504382,0,100000,50.19145,22,10551,150,269,100000
5,avg-run,1000,true,zipfian,READ,1790,4795873,2132622,2128621,15018,5,0,0,0,0,1402,597,2547524,1768332,16297246,40827256,6482279,35849,74909617775,111737271,6522773,964040,1,0,0,0,0,4146,24119.6333815726,0,100000,38.01697,28,10943,70,145,100000
6,extend,1000,true,zipfian,EXTEND,7307,10475300,5204309,5061639,53819,60012,45932,0,0,0,1402,597,2547524,1768332,16297246,40827295,6482279,35849,74949873324,111816267,6525989,964040,0,0,0,0,1,19695,507.74308200050774,0,10000,1930.5292,279,151551,11167,15663,10000
6,run,1000,true,zipfian,READ,7307,13080105,6743590,6599663,53819,60012,45932,0,0,0,1402,597,2547524,1768332,16297246,40827295,6482279,35849,74949887624,111816495,6525989,964040,1,0,0,0,0,6114,16355.904481517828,0,100000,57.70497,25,10967,167,301,100000
6,reference,1000,true,zipfian,READ,168,1819082,620564,607617,1119,1,0,0,0,0,1402,597,2547524,1768332,16297246,40827370,6482279,35849,74952364660,111834773,6527091,964040,1,0,0,0,0,2646,37792.894935752076,0,100000,22.99098,17,10159,49,88,100000
6,clean-run,1000,true,zipfian,READ,990,2553717,1528682,1527595,7475,1,0,0,0,0,1402,598,2553981,1768332,16299469,40829281,6482313,35854,74964780943,111849362,6528027,964496,1,0,0,0,0,5755,17376.19461337967,0,100000,54.22108,24,11183,161,309,100000
6,avg-run,1000,true,zipfian,READ,2045,5327720,2441469,2437468,16848,5,0,0,0,0,1402,598,2553981,1768332,16299469,40830336,6482313,35854,74974020138,111869896,6528030,964496,1,0,0,0,0,4302,23245.002324500234,0,100000,39.57061,30,11623,72,143,100000
