Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,153,5295,1084,997,1046,1,0,0,0,0,1382,321,433169,580627,2203317,15817330,5666943,2401,9395359130,23238433,517963,18864,0,0,0,1,0,730,1369.86301369863,0,1000,483.559,261,8575,826,1193,1000
1,extend,1000,true,zipfian,EXTEND,863,144237,38227,35082,2887,10001,1132,0,0,0,1382,321,433169,580627,2203317,15818189,5666943,2401,9406584322,23279594,517975,18864,0,0,0,0,1,4000,2500.0,0,10000,372.4009,264,26591,679,884,10000
1,run,1000,true,uniform,READ,863,628245,203685,198320,2887,10001,1132,0,0,0,1382,321,433169,580627,2203317,15818192,5666943,2401,9406594756,23279760,517975,18864,1,0,0,0,0,2956,33829.49932341001,0,100000,26.16744,18,10279,52,119,100000
1,reference,1000,true,uniform,READ,153,305930,102304,101213,1046,1,0,0,0,0,1382,321,433169,580627,2203317,15818192,5666943,2401,9406594816,23279761,517975,18864,1,0,0,0,0,2687,37216.22627465575,0,100000,23.40727,17,10127,48,90,100000
1,clean-run,1000,true,uniform,READ,300,479172,162186,161099,1645,1,0,0,0,0,1382,322,435128,580627,2204636,15819460,5666953,2410,9413284016,23282776,518917,18882,1,0,0,0,0,2887,34638.03255975061,0,100000,25.54467,17,10151,51,107,100000
1,avg-run,1000,true,uniform,READ,597,1089724,365548,362418,3645,5,0,0,0,0,1382,322,435128,580627,2204636,15819757,5666953,2410,9415680225,23287811,518919,18882,1,0,0,0,0,2932,34106.41200545702,0,100000,25.71948,19,12527,53,100,100000
2,extend,1000,true,zipfian,EXTEND,2001,856111,299457,268484,8759,20001,5289,0,0,0,1382,322,435128,580627,2204636,15820885,5666953,2410,9433903248,23339313,519688,18882,0,0,0,0,1,4371,2287.8059940517046,0,10000,409.0497,261,26703,746,1068,10000
2,run,1000,true,uniform,READ,2001,1840737,636889,603763,8759,20001,5289,0,0,0,1382,322,435128,580627,2204636,15820924,5666953,2410,9433918288,23339553,519688,18882,1,0,0,0,0,3321,30111.412225233362,0,100000,29.75023,18,10471,59,128,100000
2,reference,1000,true,uniform,READ,168,609026,206541,202556,1119,1,0,0,0,0,1382,322,435128,580627,2204636,15820924,5666953,2410,9433918288,23339553,519688,18882,1,0,0,0,0,2686,37230.081906180196,0,100000,23.43899,17,11215,49,91,100000
2,clean-run,1000,true,uniform,READ,479,970612,328694,326736,3444,1,0,0,0,0,1382,323,437076,580627,2206734,15822324,5666963,2414,9442044842,23346200,520624,18899,1,0,0,0,0,3343,29913.251570445707,0,100000,29.80489,18,11743,60,125,100000
