Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,100,true,zipfian,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,593,168.63406408094434,100,2946.21,1009,109567,2505,8575,100
1,extend,100,true,zipfian,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1150,869.5652173913044,0,NaN,9223372036854775807,0,0,0,1000
1,run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1344,744.047619047619,0,NaN,9223372036854775807,0,0,0,1000
1,reference,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1241,805.8017727639001,0,NaN,9223372036854775807,0,0,0,1000
1,clean-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1329,752.4454477050414,0,NaN,9223372036854775807,0,0,0,1000
1,avg-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1285,778.2101167315175,1000,945.221,263,145279,1501,2685,1000
2,extend,100,true,zipfian,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3067,326.0515161395501,1000,2701.204,777,148735,4603,7507,1000
2,run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1189,841.0428931875525,1000,867.804,226,100095,1467,2113,1000
2,reference,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1224,816.9934640522875,1000,891.322,240,146303,1329,1927,1000
2,clean-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1148,871.0801393728223,1000,820.862,224,106495,1311,1926,1000
2,avg-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1325,754.7169811320755,1000,955.247,217,131007,1639,2925,1000
3,extend,100,true,zipfian,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3060,326.797385620915,1000,2671.827,858,111615,4243,6039,1000
3,run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1273,785.5459544383347,1000,938.223,246,106175,1551,2349,1000
3,reference,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1309,763.9419404125287,1000,971.304,265,129151,1677,2449,1000
3,clean-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1140,877.1929824561404,1000,821.165,220,99775,1537,2275,1000
3,avg-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1140,877.1929824561404,1000,814.839,220,99839,1205,2008,1000
11,extend,100,true,zipfian,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2596,385.2080123266564,1000,2244.883,790,125823,3347,5619,1000
11,run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1177,849.6176720475786,1000,856.466,205,99903,1302,2197,1000
11,reference,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1130,884.9557522123894,1000,811.832,237,104383,1263,1687,1000
11,clean-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1260,793.6507936507936,1000,926.756,228,104383,1531,2177,1000
11,avg-run,100,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1132,883.3922261484099,1000,799.184,222,108031,1409,2197,1000
12,extend,100,true,zipfian,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2522,396.5107057890563,1000,2186.791,756,107135,3357,5275,1000
