/opt/jdk-21/bin/java  -classpath /home/nhan/Desktop/Projects/YCSB-IVS/conf:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/core-0.18.0-SNAPSHOT.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/HdrHistogram-2.1.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/src/main/conf:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/jdbc-binding-0.18.0-SNAPSHOT.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/checker-qual-3.5.0.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/commons-collections-3.2.1.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/commons-lang-2.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/commons-pool-1.5.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/openjpa-jdbc-2.1.1.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/openjpa-kernel-2.1.1.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/openjpa-lib-2.1.1.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/postgresql-42.5.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/jdbc/target/dependency/serp-1.13.1.jar site.ycsb.Client -t -db site.ycsb.db.JdbcDBClient -s -P ../workloads/workloada-extend -P ../jdbc-binding/conf/postgres.properties -p db.url=jdbc:postgresql://localhost:5432/ycsb_backup -p db.user=ycsb -p db.passwd=USyd2025
Adding shard node URL: jdbc:postgresql://localhost:5432/ycsb_backup
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 16430
[OVERALL], Throughput(ops/sec), 6086.427267194157
[TOTAL_GCS_G1_Young_Generation], Count, 55
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 35
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 0.2130249543517955
[TOTAL_GCS_G1_Concurrent_GC], Count, 0
[TOTAL_GC_TIME_G1_Concurrent_GC], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Concurrent_GC], Time(%), 0.0
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 55
[TOTAL_GC_TIME], Time(ms), 35
[TOTAL_GC_TIME_%], Time(%), 0.2130249543517955
[READ], Operations, 100000
[READ], AverageLatency(us), 161.30204
[READ], MinLatency(us), 129
[READ], MaxLatency(us), 16447
[READ], 95thPercentileLatency(us), 174
[READ], 99thPercentileLatency(us), 320
[READ], Return=OK, 100000
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 639.0
[CLEANUP], MinLatency(us), 639
[CLEANUP], MaxLatency(us), 639
[CLEANUP], 95thPercentileLatency(us), 639
[CLEANUP], 99thPercentileLatency(us), 639
