ycsb_key,size
user5687406993877847388,94300
user638681583480959459,101800
user2542450132450151085,99100
user265365782670594404,98100
user6653629794676316468,100200
user7130436796558090324,95700
user9147847186367208444,104100
user8555158501596946302,99300
user7752934272276077682,102700
user380127544534801794,105500
user5767000737655408336,107300
user760369369412996322,97200
user2469770595444721824,96700
user5537030338022366205,98900
user7555219003561466656,99900
user8275619892525156121,101400
user1337537941806875960,98300
user3233820506196097665,102900
user945352511016229298,100900
user2128273295117104108,98700
user752883384833026401,104400
user6816508445129636032,99300
user5531224234978817628,97800
user7860210049560315151,97500
user4050786572163366458,101100
user3804964660328586843,99500
user3590277958387957437,99600
user5448499288815199460,102900
user488304927625478276,97600
user900023607692121578,100400
user2729444555415160385,91600
user4252411318994017035,104100
user9083991870183871883,101400
user8543887940804147713,102100
user1358304196714666593,101700
user2633987482140164167,98600
user7362200162335066896,100700
user9044810715197611305,96700
user6390949534223031570,107500
user345737802178137683,100700
user7098058335563202537,100400
user1066033460531498362,95000
user4777553524682744948,100900
user6691472713420454267,100600
user4255417619476863372,98100
user6797982032270407191,99300
user9187141425960982119,103500
user8205067112960775555,101500
user2549924299734423220,96800
user1016683566310592195,100000
user2755115307560060582,102700
user8667473923490447803,107700
user774769560765097930,95900
user1995420179002597442,99100
user4025334135236308144,96100
user650293789568056613,95500
user8746060830851240952,99700
user8234085810882820654,97600
user7556898885097888000,99500
user7445703384228667395,99200
user562882661385170764,102700
user7587037504044213995,98100
user6463617253932763045,102200
user179622718728432113,101600
user6174146320310297054,100300
user1880989816963745032,101900
user2138765580179920366,102600
user3505654815470076042,103300
user8381009290350828149,102300
user8168892258457361314,99400
user3640966088850986383,101900
user317608892766833811,103100
user7527090094150162784,102500
user6505711296087238960,98800
user8989094757421016113,99400
user5575091571984345887,98700
user1950651236190630170,95700
user4268709707100381870,100000
user6298840406725180254,102200
user1187161285951394777,94000
user8609972853567102481,103800
user1694555354510876180,101400
user6310452612812277408,104900
user4534737913330811670,98600
user6040286367779022589,102100
user4695948499543407676,98300
user8341268174852427123,101700
user126819648120052258,100700
user4806024079388347385,101000
user3005965046708406443,97300
user3984360014106113125,101400
user3689642937952239005,100300
user669380162939425902,103600
user5959801263663966213,100500
user6163872350465322679,97000
user3756847771739474669,97600
user3962255522956199713,101100
user9213153823400180881,100400
user9061887379033958471,101000
user5698459239452804094,99100
user6389611297980908791,102000
user224391661540399385,104700
user3346124110793901380,95300
user4393185478297423187,101900
user6008809512590573815,97300
user7261496946528662549,101800
user3813777063854981757,97500
user8881259019624638196,98300
user2917433997501239698,98600
user2293050142324686899,97300
user7652904101589326880,99800
user4625727119804382090,100300
user5860217968881842762,100800
user7380396747195694958,95800
user5554107001858713371,97400
user7085667853746123052,102700
user7338975750160872588,99800
user8511509479809259926,95500
user7505090833610578158,100100
user376001323027674561,102500
user8637665132542722587,102700
user6987982755718262828,98700
user1632814978472890528,102100
user1925758759775712304,97200
user4521457643002990958,101400
user3074849762032063451,105400
user3353610095373871301,101300
user3828407387720623034,102800
user3134578856708272779,98900
user4031140238279856721,96200
user7131775032800213103,97200
user4905265728876172271,101700
user8973138014608949843,97800
user555178361587358960,97300
user1237736331806910626,102400
user1478312101110282112,100900
user4508725515891612908,92200
user243821252032821440,101800
user2468319274595085948,95100
user1764889818857414863,97000
user186548742796261586,96900
user264027546428471625,101900
user9132887034502966388,95600
user3119618704844030723,104100
user291938140621933614,95500
user5278363214468695443,99300
user2821541865617313915,106400
user971136347768642592,101000
user86405487501997687,102700
user1687629330443046707,100500
user6337243285981458501,99300
user1001286784010666373,105000
user6752434813728457588,105800
user6575591030531965981,101100
user2804010471879155087,101800
user1485456440395953468,103700
user8177156518767313566,104200
user159976384844922376,101100
user3484670245344443526,99100
user6153940025914646869,102400
user2011271691204334926,102900
user3858546006666949029,101100
user8633197265741296789,102900
user3875622670503296195,99400
user1600218202260160858,95200
user1755175809524580936,94600
user8502697076282865012,98700
user5411994606313184440,97700
user5591171644872868839,97600
user6570686533294856417,102900
user1154669740348993893,103400
user885623416340019970,100700
user1229690386714800257,99200
user1367116600241061507,97000
user1572089292848856986,99400
user3053305231394290487,100200
user6682100349381918905,102800
user2677978149222149108,106800
user235443907115356091,95600
user3871278133778327079,103100
user6140429623073286488,97400
user4783577942944135408,101000
user6590551182396208037,100500
user7119384550983133618,100800
user2529158044826632587,102800
user5570965350477218654,99800
user9061327418521818023,98400
user2430134710556649584,99100
user1194865585749206581,100000
user5188152283725107354,93400
user2172482277416930932,98800
user5973311666505326594,99800
user3469491778262359587,101900
user7457315590315764549,100400
user1664746563563150964,103900
user4655305778238567637,97300
user6138201598320422482,102100
user4281430016916062134,101300
user2109062019842523936,103200
user419090384303220489,102800
user2677076543415710095,93600
user5811882765074888705,96400
user4530611691823684437,96900
user4083383348376096128,96500
user6903919573312521881,103300
user5997644182408104012,102600
user6762367138279133398,95600
user3924972564724202362,97900
user7515924763967692981,98200
